,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx-rh-bankssts,0.8464584282,0.1288224911,0.2814319496,0.5174009225,0.8541688556,0.6789553634,0.7701350007,0.5678028368,0.4305211687,0.07483881754,0.05711693686,0.4530971845,-0.002805807292,0.8247222996,0.87132004,0.3996445175,-0.3518242243,-0.1203171183,0.4473142539
ctx-rh-caudalanteriorcingulate,0.7569645075,0.09382282062,0.3538439101,0.7393044838,0.6221839912,0.8613079806,0.6500308132,0.4180561261,0.6734389193,0.4236761408,0.2424781989,0.5977900993,0.3963106337,0.5874933691,1.090656808,0.2699554518,1.604485747,1.220050059,1.351797928
ctx-rh-caudalmiddlefrontal,0.1192782414,-0.2178635361,-0.1603343065,0.09271835658,0.3827738021,0.9378578623,0.9294872518,0.3880680978,0.3924789711,-0.0561992049,0.4492065444,0.4686763423,-0.2113388993,0.2968558267,0.5630940693,0.3928283693,0.3200790094,0.2182156648,0.621066156
ctx-rh-cuneus,0.4643455341,-0.2334678682,-0.04932555231,0.4023550422,0.1796140297,0.8953012057,0.9931718331,0.3932061794,0.8343330167,0.5399242114,-0.2947927111,0.859272868,-0.2168279746,0.7893475451,0.7382790052,1.033958663,0.03240234814,-0.3420397388,-1.061366751
ctx-rh-entorhinal,0.1305752754,0.07645093038,0.3010271651,-1.265032009,2.114491586,-0.6779178588,0.3095638846,0.8029563377,-0.9740579586,1.518127928,-1.358084813,0.1230209059,-0.07824838149,0.03369618412,0.09426142309,-0.4022334363,-0.1551373057,-0.1051637173,0.4750437207
ctx-rh-fusiform,0.6134479435,0.4099979766,0.1972264227,0.06365671487,1.276737791,0.08349199895,0.8489065755,0.5435636031,0.5360093658,0.2619903869,-0.1824083013,0.6551551412,-0.174217727,0.6019278329,0.6141255846,0.4719680806,-0.04459442637,0.5409169305,0.2839366253
ctx-rh-inferiorparietal,0.2073776181,0.1318014556,-0.2426986586,0.3352575227,0.4950575209,0.5623697966,0.9729972798,0.6860208231,0.7546979462,-0.004089877409,0.2171001433,0.9115882002,-0.1845792723,0.2521040982,0.8754437113,0.5168396869,0.09115234998,0.5377902087,0.3032361939
ctx-rh-inferiortemporal,0.4414771453,0.6179003872,0.05115784301,0.3421076564,1.265241958,0.2480526716,1.051845189,0.7900467557,0.8365555405,0.0821530588,-0.108146649,0.8851283947,-0.1535385022,0.5173357538,0.7568653726,0.4444721982,-0.09301393577,0.7019208648,0.6217826808
ctx-rh-isthmuscingulate,0.5956965903,-0.4441820448,0.1702121962,-0.4073399932,0.2564613385,-0.09436858196,0.6436400115,0.3872150276,-0.2788548264,0.2345747656,-0.52022725,-0.02597991828,-0.07521730924,0.4820568738,0.505632197,0.2424629667,-0.3432242968,-0.65725326,-0.196388221
ctx-rh-lateraloccipital,-0.1822992435,-0.05621182849,-0.205623943,0.2897671736,0.1225614031,0.4479892638,0.9920800119,0.4839302373,0.5612129896,0.1561895706,-0.1536379675,0.8379787579,-0.257289699,0.2128383056,0.5062956954,0.7702734778,-0.1887162462,-0.1101791253,-0.8032908703
ctx-rh-lateralorbitofrontal,0.6142875522,0.1216042315,0.367049658,-0.07411171596,0.5918538717,0.4611653707,1.147037075,0.6649626764,0.06334981997,0.5570752801,-0.1285114857,0.5088546494,0.1541865337,0.8595634093,0.587250091,0.5609565555,0.6754276527,0.5377660797,1.002963974
ctx-rh-lingual,0.4217050836,-0.2786128472,0.05799169442,-0.0467121555,0.1701399636,0.8419284261,0.8875320495,0.2731785111,0.08982612627,0.3646660362,-0.5080380751,0.5470884902,-0.2312331451,0.6862598512,0.3617149886,0.9153384515,-0.1797125414,-0.5649619277,-0.9925453625
ctx-rh-medialorbitofrontal,1.16021043,0.2068382727,0.3923858174,0.1034974778,1.157731371,0.6585065466,0.9279323809,0.6397566689,0.3714683789,0.2550317823,-0.08249457751,0.8170836667,0.1839970154,0.7882383197,1.009097073,0.2114152223,1.055817804,1.194402658,1.248877305
ctx-rh-middletemporal,0.5523877292,0.5982897363,0.06585247605,0.5403241067,1.113251475,0.4338981292,1.25292542,0.9275062465,1.009929198,0.1722294296,0.05689375676,1.015366378,-0.1080311682,0.6800900845,1.054559028,0.4174482719,0.06713670901,0.8387075792,0.6284835306
ctx-rh-parahippocampal,0.3441301372,-0.04262095566,0.3424956124,-0.4377520568,1.469547223,-0.8224353957,0.3378148481,0.4203676134,-0.5952173737,0.607491884,-0.4183329168,-0.2280876676,-0.09797405549,-0.05236511096,0.1077311339,-0.05149357521,-0.07039581205,-0.02171939161,-0.2991782682
ctx-rh-paracentral,0.1739976727,-0.2763390772,-0.06590452526,1.450300763,0.2050545291,0.2873334243,0.3580276986,0.1319724058,0.1144136755,0.3133378437,0.02080805785,0.2847330461,0.1878040025,0.6653178844,0.3033470717,0.2659458117,0.5176664469,0.0907924555,0.1504133448
ctx-rh-parsopercularis,0.5569884124,-0.007429776291,0.1863474583,0.7540080967,0.8321881282,1.147996397,0.8515741896,0.3912916517,0.8082450569,0.1026690404,0.4335050653,0.7419803289,-0.04011672439,0.5477608132,1.039334373,0.5140313037,0.7202674402,0.6802451948,0.7175107354
ctx-rh-parsorbitalis,0.1720829713,-0.07265515475,-0.3155173206,0.4223081768,0.1831279542,0.4546721341,1.340825,0.7423992298,0.2771573248,0.232590505,0.3331879448,0.8100790795,-0.1999838142,0.5894011517,0.6114483102,0.5801135623,0.4528948535,0.7726156944,0.5260563129
ctx-rh-parstriangularis,0.2855215464,-0.05268407385,0.003212168336,0.7298724684,0.4262720067,0.9671879888,0.7961102139,0.3895239162,0.7970917649,0.09377014544,0.4795577856,0.8143765862,-0.1007372063,0.4030512792,0.8596057409,0.3266309044,0.4625564725,0.626452818,0.5138991722
ctx-rh-pericalcarine,0.420704574,-0.3791990908,0.1520231938,0.3719201781,-0.3992008387,1.572161954,0.8194361896,0.06834643823,0.9854850593,0.4395733684,-0.2267401724,0.8736407521,-0.1713002234,0.7769888409,0.3335985564,1.631112457,-0.02502493455,-0.9598554959,-1.321711766
ctx-rh-postcentral,-0.04006282864,-0.1501301238,-0.2051455659,1.148554743,0.1797438567,0.3996984148,0.508058056,0.2564805778,0.1985464127,0.202759357,0.07200313456,0.4243088837,-0.002705246848,0.2569443184,0.3915566882,0.3714482843,0.221161937,0.1217387732,-0.2458756804
ctx-rh-posteriorcingulate,0.7884649327,-0.1959109809,0.3092485302,0.7887906908,0.5912522621,0.5835918983,0.6024258637,0.3327626901,0.218555271,0.2028173122,0.09921265232,0.387368661,0.3523083637,0.4774093996,1.068849099,-0.1425412349,0.4430428408,0.3296147604,0.7679493809
ctx-rh-precentral,-0.01181857386,-0.2149787274,-0.1701454903,0.9085659376,0.1894298815,0.6635432645,0.5806849697,0.1964770429,0.301283978,0.02525150094,0.3133413631,0.37564794,0.0201624809,0.3476165463,0.3953069388,0.2682407791,0.3300573897,0.1156567321,0.0931772874
ctx-rh-precuneus,0.598492096,-0.1837498695,0.01053032084,0.415327617,0.4195711209,0.3845124457,0.8144777606,0.486925936,0.7242117101,0.1688295236,-0.002783586079,0.6052426993,-0.1236528255,0.8103014059,0.7269136015,0.5365081245,0.2087494984,0.07470958709,0.06022463915
ctx-rh-rostralanteriorcingulate,1.204260491,0.1672002436,0.4561923313,0.1998219172,1.042671621,0.6177369906,0.3923323413,0.2951662163,0.8692049202,0.2896875441,-0.1412388743,0.6182212142,0.1630380055,0.7922118002,1.163015317,0.02009708353,2.053950298,1.329585944,1.638849746
ctx-rh-rostralmiddlefrontal,0.3331039342,-0.08597748729,-0.2210836449,0.2645038922,0.6633791352,1.15499165,0.890864985,0.4532465375,0.3325887725,0.03162582605,0.3866278372,0.7837133971,-0.1273013637,0.1080403576,0.7661083713,0.4747251926,0.4464624807,0.9554818779,0.7789523291
ctx-rh-superiorfrontal,0.2253483285,-0.1065838519,-0.2557227203,0.1542285473,0.5659283279,0.8461991468,0.8736005148,0.4077849399,0.4460233983,0.01749276832,0.2363528561,0.5589035872,-0.1369107171,0.454520019,0.6554320503,0.3826738537,0.7524201832,0.5526386932,0.8561255769
ctx-rh-superiorparietal,-0.1507261019,-0.1542742612,-0.4571235326,0.2321044563,0.08391670109,0.2062964825,0.527619374,0.2928762797,0.2324050487,-0.05194744766,-0.05811304056,0.5700280951,-0.3152350699,0.101801891,0.2333005801,0.2834070011,-0.1475411584,-0.1000580369,-0.24565927
ctx-rh-superiortemporal,0.4622957753,0.4086690652,0.1052166774,0.5300399004,1.054459585,0.2480706721,1.207230056,0.9294797709,0.6713877457,0.601811584,-0.2117669802,0.8692676927,0.08606264621,0.6710543519,0.8857121396,0.5163045129,0.3588517166,0.7681450853,0.3348601627
ctx-rh-supramarginal,0.2780713621,0.0245024131,-0.1380105661,0.4433086181,0.514682164,0.4882172259,0.9462098231,0.7073575744,0.4487506077,0.140646737,-0.01521026577,0.6157130401,-0.1138368839,0.08987296128,0.8031249861,0.4001172731,0.09634831501,0.4327512761,0.4505293086
ctx-rh-frontalpole,0.2318318423,-0.2029330295,-0.6820578473,-0.5387675822,0.4888991339,0.5381467115,1.580452248,0.9128832377,-1.100468039,0.2775465878,-0.1716305823,0.5382014046,-0.2635530854,-0.5335841568,0.6091562109,0.3272126237,0.06898672731,0.47918669,0.4152299229
ctx-rh-temporalpole,0.2270318642,0.597324621,0.1877870597,-1.244754949,1.236623818,-0.7148920154,0.9263599454,0.9377032239,-0.3536178759,1.386252508,-1.153696313,0.6321128067,-0.2067727041,0.6934391564,0.4254669478,0.002032822446,-0.2372863614,0.7796605324,0.9183418316
ctx-rh-transversetemporal,0.9003449798,0.08552073252,0.4429697477,1.40311434,0.8938722502,0.945319522,1.236640699,0.6095197411,0.7681393144,0.8921916152,0.1756788913,0.9785267731,0.5299051257,1.47660223,1.164640603,1.029720035,0.7473279261,0.2216215011,-0.3122964325
ctx-rh-insula,1.125626687,1.011284997,1.100179089,0.5511747303,1.443868687,0.5175823261,0.5622404099,0.5295065859,0.8183054829,1.13353858,0.03073403446,0.8549281465,0.6838026087,1.035526212,0.8555052211,0.5786328802,1.383731676,1.117400496,1.22081764
