,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_rh_G_pariet_inf-Angular,0.07402657493,0.1748228598,-0.458892876,0.1879011474,0.3839679795,0.4481238149,1.078677345,0.7654796299,0.8581326956,-0.002934973817,0.1837076903,1.025518059,-0.2228038533,-0.08896729161,0.8238189491,0.4348493399,0.2668880282,0.7847175037,0.3068800236
ctx_rh_G_pariet_inf-Supramar,0.1841327372,0.0230268374,-0.2509408818,0.4213079876,0.5369621244,0.4707492481,1.053210065,0.8164688927,0.4784339611,0.1849941119,-0.07534889673,0.6870099949,-0.1671990249,-0.1055184549,0.8135054633,0.3603605053,0.1970370117,0.6380906649,0.4227047762
ctx_rh_G_parietal_sup,-0.200426667,-0.1099523942,-0.6693347175,0.209746141,0.0991339175,0.0988077737,0.632162765,0.3860612328,0.3312266506,-0.06304122084,-0.05133945922,0.6707074273,-0.3693751027,-0.142297716,0.1281632993,0.2914248352,0.04584351184,0.05830303833,-0.0828475472
ctx_rh_G_postcentral,-0.454643075,-0.2328411982,-0.4854925749,0.8057024071,-0.1112135308,0.2133620438,0.4936598392,0.1930575297,0.1059171514,0.1695519853,-0.0183464594,0.400925009,-0.2296330819,-0.04510996664,0.04482130182,0.1675891978,0.1994033051,0.1434250536,-0.5355847864
ctx_rh_G_precentral,-0.2885638596,-0.2323620459,-0.4530234452,0.8617250498,0.06469348678,0.6170306971,0.6914930018,0.2507478843,0.3689888683,0.03998760872,0.3911336308,0.5573429467,-0.1178023499,0.07583748083,0.2254658133,0.1515524488,0.5445197063,0.330465225,0.02977911504
ctx_rh_G_precuneus,0.5198347828,-0.1106119951,-0.2610362351,0.5024575347,0.5946514863,0.5063011641,0.9309096845,0.5806408738,0.7704464652,0.07075061581,0.03763651934,0.8967683722,-0.1288211553,0.7911099183,0.8434012868,0.3618777845,0.352823437,0.3611483843,0.2430904039
ctx_rh_G_rectus,0.9987138272,0.06864293796,0.0381697522,-0.08698597629,0.9019456705,0.570418988,1.236320516,0.8532499012,-0.1569185947,0.2869667459,-0.1780621433,0.7544085515,0.09222752981,0.85318851,0.9510786858,0.2413916991,0.5843892066,0.8848807885,1.30670453
ctx_rh_G_subcallosal,1.431858938,1.527101516,2.247122037,0.1197435537,0.6979773988,0.6124362473,0.01663092669,0.5786323782,-0.1142594381,0.9302305758,-0.1670597801,0.6620830996,1.527610995,0.7512796106,0.3595956333,-0.2631751165,2.944710856,0.6424236847,1.899957871
ctx_rh_G_temp_sup-G_T_transv,1.00485365,0.1634269247,0.3932344038,1.4592981,1.134252858,1.012639387,1.318501878,0.7053718424,0.8834516494,0.8459537557,0.08061562968,1.12629031,0.5337839647,1.510135018,1.286755561,1.010380983,0.9066853671,0.5745035713,-0.1788210274
ctx_rh_G_temp_sup-Lateral,0.2159545389,0.5346998524,-0.09525488623,0.4266913368,0.8622970382,0.03537276395,1.385197607,1.104391248,0.7308959286,0.677636161,-0.2382317008,0.9324726565,-0.004167070738,0.3872865086,0.8885671851,0.4362684438,0.3074691591,0.9038130723,0.2888638607
