,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
ctx_lh_G_precuneus,-0.2704748171,-0.3898415274,-0.3366631032,0.5265639159,-0.7605948508,-0.1136487075,0.8766561058,0.5010769508,0.2862098865,0.03588760428,0.01828490467,-0.459083984,-0.1428158546,0.8180865828,-0.1509073902,0.2908548721,0.4178810582,0.3057533649,0.2667105388
ctx_lh_G_rectus,0.442868177,-0.5528256879,0.03527261839,-0.2054184147,-0.1441606896,-0.8660935498,1.338449668,0.8806842123,-0.1854221062,0.4431323205,-0.1779510586,0.6193023483,0.1128767543,0.8143303967,-0.3949237827,0.5486347301,0.8607562992,0.5643038298,1.277335514
ctx_lh_G_subcallosal,-0.3366553993,0.2394834609,2.037919359,0.2060583361,0.1357682294,-0.6451365013,-0.3777407484,0.06887242708,-0.6924780012,0.8660959626,-0.3651823841,-0.82075326,1.891356645,0.24988849,-0.7998222995,-0.3732013639,2.801609215,-1.140251425,1.676534228
ctx_lh_G_temp_sup-G_T_transv,1.374650085,-0.6139878008,0.173139375,1.446513688,-0.5964540031,-0.4683024419,1.292578401,0.6428845385,-0.366867729,0.7806287723,0.1010672384,-0.2997185639,0.5211803499,1.524663278,-0.6825667803,1.109920197,0.7825736755,-0.4002403519,-0.258971512
ctx_lh_G_temp_sup-Lateral,1.758378125,-0.3832858031,-0.4054795611,0.4461746996,0.8091808169,0.4736461068,1.319327563,1.036412899,0.04533415015,0.5973667055,-0.2425173183,1.083741954,0.02724623126,0.7233985612,-0.3863332798,0.3544313118,0.3026300309,-0.1258382767,0.5897339069
ctx_lh_G_temp_sup-Plan_polar,1.834780613,-0.1841061644,0.196781147,-0.250625605,0.3419090039,-0.1713881741,0.4768450195,0.5270004567,-0.2859287456,0.9056302854,-0.7976298296,1.34968221,0.01259828183,0.3938731926,-0.8154028321,0.2460429367,0.3779334386,-0.5958468474,0.6341231445
ctx_lh_G_temp_sup-Plan_tempo,1.16848997,-0.7744342874,-0.2509680695,1.098887507,0.9146064997,-0.5619181883,0.5462311702,0.3295504209,-0.126787842,-0.07011640668,0.2170382239,-0.5892245305,0.04475328153,0.6818527691,-0.9831131243,0.6714209383,0.3227396061,-0.561749973,0.3655616774
ctx_lh_G_temporal_inf,0.7227724437,-0.002267746046,-0.1271724542,0.466847556,0.67479958,0.3686367709,1.028076226,0.7283250707,0.4730000141,0.02973503737,-0.05807822023,-0.06165567804,-0.1627934785,0.7486956654,0.2357586104,0.1823523305,0.04438205134,-0.08612000073,0.7132977356
ctx_lh_G_temporal_middle,1.477959501,-0.1060190593,-0.1624585311,0.6655483655,1.115144233,0.3486713917,1.457340718,1.052343599,-0.5617303119,0.1833062211,0.09386682861,0.5350051519,-0.1493079446,0.7855295287,-0.6327111723,0.4398033103,0.1739005763,-0.2448843001,0.8049900502
ctx_lh_Lat_Fis-ant-Horizont,0.9961865181,0.2504658671,0.2073236654,0.4664981015,-0.5569354268,0.5509794174,0.1678115358,-0.1128632927,-0.1230883341,-0.1166998896,0.1780738587,1.611122727,-0.06003057736,0.4638336726,0.7723223504,0.7285261515,0.2977754313,1.633548576,0.3497078157
