Flipped_destrieux LR accuracy,Flipped_destrieux RF accuracy,Flipped_destrieux SVC accuracy,Flipped_destrieux XGB accuracy,Flipped_destrieux KNN accuracy,Flipped_destrieux GNB accuracy,Flipped_destrieux LR F1,Flipped_destrieux RF F1,Flipped_destrieux SVC F1,Flipped_destrieux XGB F1,Flipped_destrieux KNN F1,Flipped_destrieux GNB F1,Flipped_destrieux LR Sensitivity,Flipped_destrieux RF Sensitivity,Flipped_destrieux SVC Sensitivity,Flipped_destrieux XGB Sensitivity,Flipped_destrieux KNN Sensitivity,Flipped_destrieux GNB Sensitivity,Flipped_destrieux LR AUC-PR,Flipped_destrieux RF AUC-PR,Flipped_destrieux SVC AUC-PR,Flipped_destrieux XGB AUC-PR,Flipped_destrieux KNN AUC-PR,Flipped_destrieux GNB AUC-PR
0.8602620087336245,0.8922852983988355,0.87627365356623,0.868995633187773,0.8602620087336245,0.883551673944687,0.8072289156626506,0.8418803418803419,0.8296593186372746,0.8192771084337349,0.8,0.8340248962655602,0.8445378151260504,0.8277310924369747,0.8697478991596639,0.8571428571428571,0.8067226890756303,0.8445378151260504,0.9217932935056152,0.9067861062338068,0.9099460639537735,0.9070744327921495,0.8710066033290145,0.8902853271227316
0.8719068413391557,0.8384279475982532,0.8369723435225619,0.834061135371179,0.8020378457059679,0.826783114992722,0.8562091503267973,0.8102564102564103,0.8120805369127517,0.8106312292358804,0.7553956834532374,0.8006700167504187,0.842443729903537,0.7620578778135049,0.7781350482315113,0.7845659163987139,0.6752411575562701,0.7684887459807074,0.9158066627441886,0.9016877183915702,0.9018818350387813,0.8968140148200939,0.8600422000896193,0.9033617136160106
0.858806404657933,0.868995633187773,0.8893740902474527,0.8544395924308588,0.8427947598253275,0.8646288209606987,0.836424957841484,0.8432055749128919,0.8685121107266436,0.8299319727891157,0.8029197080291971,0.8359788359788359,0.7948717948717948,0.7756410256410257,0.8044871794871795,0.782051282051282,0.7051282051282052,0.7596153846153846,0.9274283515324823,0.9319490424426959,0.937527117995971,0.9199606528686699,0.9098930594745038,0.9038337824711908
0.8107714701601164,0.8311499272197962,0.8093158660844251,0.8078602620087336,0.7889374090247453,0.8238719068413392,0.8179271708683473,0.8289085545722714,0.8076358296622613,0.8103448275862069,0.777947932618683,0.8233576642335766,0.8021978021978022,0.771978021978022,0.7554945054945055,0.7747252747252747,0.6978021978021978,0.7747252747252747,0.9085821180370786,0.9149651268425025,0.8881941961535003,0.9015395601987133,0.886748013321184,0.8892876205100405
0.7860262008733624,0.8064046579330422,0.8107714701601164,0.8034934497816594,0.7991266375545851,0.8078602620087336,0.7469879518072289,0.7603603603603604,0.7636363636363637,0.7576301615798923,0.7453874538745388,0.7582417582417582,0.7722419928825622,0.7508896797153025,0.7473309608540926,0.7508896797153025,0.7188612099644128,0.7366548042704626,0.8460261103785313,0.8441387976610039,0.847956241276005,0.8353160301669893,0.8037427870777594,0.7758105307996669
0.8850072780203785,0.8748180494905385,0.87627365356623,0.868995633187773,0.8733624454148472,0.8719068413391557,0.861646234676007,0.8442028985507246,0.8434622467771639,0.8404255319148937,0.8361581920903954,0.8445229681978799,0.8692579505300353,0.823321554770318,0.8091872791519434,0.8374558303886925,0.784452296819788,0.8445229681978799,0.9283561094391727,0.9325568857482418,0.9280965536135445,0.9215401039316492,0.9047363637795982,0.9253707228162249
0.87627365356623,0.8879184861717613,0.86608442503639,0.86608442503639,0.8369723435225619,0.8850072780203785,0.8081264108352144,0.8135593220338984,0.7909090909090909,0.7880184331797235,0.7241379310344828,0.8132387706855791,0.8523809523809524,0.8,0.8285714285714286,0.8142857142857143,0.7,0.819047619047619,0.9087958216449784,0.8858447317228353,0.8875770886343229,0.8788924283048977,0.8296385460350056,0.8861913362644257
0.8442503639010189,0.8558951965065502,0.8486171761280932,0.8049490538573508,0.8195050946142649,0.8500727802037845,0.8225538971807629,0.8278260869565217,0.8249158249158249,0.7774086378737541,0.7777777777777778,0.8239316239316239,0.8025889967637541,0.7702265372168284,0.7928802588996764,0.7572815533980582,0.7022653721682848,0.7799352750809061,0.8978658875708738,0.897549118878446,0.8992359571150721,0.886992707896822,0.8680884811590464,0.8901753622389907
0.8471615720524017,0.8631732168850073,0.8486171761280932,0.8558951965065502,0.8151382823871907,0.8486171761280932,0.8205128205128205,0.8290909090909091,0.8122743682310469,0.8228980322003577,0.7590132827324478,0.8074074074074075,0.8304498269896193,0.7889273356401384,0.7785467128027682,0.7958477508650519,0.6920415224913494,0.754325259515571,0.9030839980890432,0.8896238980207086,0.8837231625573437,0.8938080176892533,0.8468659159197847,0.8598259203836773
0.8020378457059679,0.8209606986899564,0.8282387190684134,0.8107714701601164,0.8049490538573508,0.8195050946142649,0.6851851851851852,0.7078384798099763,0.7255813953488373,0.7072072072072072,0.6778846153846154,0.7019230769230769,0.6218487394957983,0.6260504201680672,0.6554621848739496,0.6596638655462185,0.592436974789916,0.6134453781512605,0.7908797034683038,0.8162184080923031,0.8019580318957622,0.8184542122242279,0.7715561442761834,0.7937793621907158
