Flipped_desikan LR accuracy,Flipped_desikan RF accuracy,Flipped_desikan SVC accuracy,Flipped_desikan XGB accuracy,Flipped_desikan KNN accuracy,Flipped_desikan GNB accuracy,Flipped_desikan LR F1,Flipped_desikan RF F1,Flipped_desikan SVC F1,Flipped_desikan XGB F1,Flipped_desikan KNN F1,Flipped_desikan GNB F1,Flipped_desikan LR Sensitivity,Flipped_desikan RF Sensitivity,Flipped_desikan SVC Sensitivity,Flipped_desikan XGB Sensitivity,Flipped_desikan KNN Sensitivity,Flipped_desikan GNB Sensitivity,Flipped_desikan LR AUC-PR,Flipped_desikan RF AUC-PR,Flipped_desikan SVC AUC-PR,Flipped_desikan XGB AUC-PR,Flipped_desikan KNN AUC-PR,Flipped_desikan GNB AUC-PR
0.87627365356623,0.8733624454148472,0.858806404657933,0.8253275109170306,0.8413391557496361,0.8719068413391557,0.8275862068965517,0.8160676532769556,0.8071570576540755,0.7637795275590551,0.7604395604395604,0.8111587982832618,0.8571428571428571,0.8109243697478992,0.8529411764705882,0.8151260504201681,0.726890756302521,0.7941176470588235,0.9173778616734929,0.8297361731047646,0.8761636024102969,0.8729044068775615,0.8041419680056133,0.8726631449834458
0.86608442503639,0.8369723435225619,0.851528384279476,0.8296943231441049,0.7903930131004366,0.8180494905385735,0.8501628664495114,0.8127090301003345,0.8338762214983714,0.8072487644151565,0.7352941176470589,0.7848537005163512,0.8392282958199357,0.7813504823151125,0.8231511254019293,0.7877813504823151,0.6430868167202572,0.7331189710610932,0.9195013053799735,0.8792649287182673,0.8988904163787149,0.8877370274727252,0.8508415161525757,0.8880512343154889
0.87627365356623,0.858806404657933,0.8369723435225619,0.86608442503639,0.8122270742358079,0.8034934497816594,0.8576214405360134,0.831304347826087,0.821656050955414,0.8486842105263158,0.7692307692307693,0.7676419965576592,0.8205128205128205,0.7660256410256411,0.8269230769230769,0.8269230769230769,0.6891025641025641,0.7147435897435898,0.9452580744162391,0.9280159332678423,0.9194623024380858,0.9221634034323046,0.868088356726467,0.8789006720053613
0.8398835516739447,0.8151382823871907,0.8369723435225619,0.8122270742358079,0.7641921397379913,0.8078602620087336,0.84593837535014,0.8107302533532041,0.838150289017341,0.8154506437768241,0.7484472049689441,0.8047337278106509,0.8296703296703297,0.7472527472527473,0.7967032967032966,0.782967032967033,0.6620879120879121,0.7472527472527473,0.915600319841994,0.8863488299843273,0.9004525090796371,0.8839192933573288,0.8486847420546517,0.8809314259035398
0.8049490538573508,0.7903930131004366,0.8005822416302766,0.7816593886462883,0.7714701601164483,0.7918486171761281,0.7705479452054794,0.7391304347826086,0.7592267135325131,0.7359154929577465,0.7140255009107468,0.7441860465116279,0.800711743772242,0.7259786476868327,0.7686832740213523,0.7437722419928826,0.697508896797153,0.7402135231316725,0.8593080193440815,0.7566329213147636,0.8246564456521724,0.8072271312904883,0.7614450219309288,0.7421765098344206
0.901018922852984,0.883551673944687,0.8966521106259098,0.8733624454148472,0.8748180494905385,0.851528384279476,0.8798586572438163,0.8523985239852399,0.8697247706422019,0.8397790055248618,0.8352490421455939,0.8125,0.8798586572438163,0.8162544169611308,0.8374558303886925,0.8056537102473498,0.7703180212014135,0.7809187279151943,0.9453363073468651,0.933567032300901,0.9376147336292993,0.9263091748416733,0.8949917062099726,0.9254409280422624
0.8806404657933042,0.8864628820960698,0.86608442503639,0.8748180494905385,0.8486171761280932,0.8922852983988355,0.8169642857142857,0.8088235294117647,0.7909090909090909,0.8036529680365296,0.7360406091370558,0.815,0.8714285714285714,0.7857142857142857,0.8285714285714286,0.8380952380952381,0.6904761904761905,0.7761904761904762,0.9138859371420193,0.8902839450655478,0.8932633530862296,0.8917448775517903,0.8039019482246658,0.8921952031967556
0.8296943231441049,0.8457059679767104,0.8384279475982532,0.8034934497816594,0.8005822416302766,0.8093158660844251,0.8040201005025126,0.8166089965397924,0.8121827411167513,0.7761194029850746,0.7617391304347826,0.7753001715265866,0.7766990291262136,0.7637540453074434,0.7766990291262136,0.7572815533980582,0.7087378640776699,0.7313915857605178,0.9010369609679476,0.9060931324864572,0.9106873008418536,0.8870650799964322,0.8396521908876091,0.8614301900151992
0.8529839883551674,0.8413391557496361,0.834061135371179,0.834061135371179,0.7831149927219796,0.8238719068413392,0.8218694885361552,0.8070796460176991,0.7985865724381626,0.8,0.7255985267034991,0.7803992740471869,0.8062283737024222,0.7889273356401384,0.7820069204152249,0.7889273356401384,0.6816608996539792,0.7439446366782007,0.8976702648779096,0.868363641570781,0.88989658049225,0.8833189977558752,0.8124394853714187,0.84352449941233
0.8064046579330422,0.8253275109170306,0.8282387190684134,0.8093158660844251,0.7787481804949054,0.8238719068413392,0.7024608501118568,0.7169811320754716,0.7342342342342343,0.7015945330296127,0.6346153846153846,0.711217183770883,0.6596638655462185,0.6386554621848739,0.6848739495798319,0.6470588235294118,0.5546218487394958,0.6260504201680672,0.8174595323568484,0.8206107943703075,0.822884078003282,0.81450977412747,0.7060441757742091,0.812071333095691
