Destrieux LR accuracy,Destrieux RF accuracy,Destrieux SVC accuracy,Destrieux XGB accuracy,Destrieux KNN accuracy,Destrieux GNB accuracy,Destrieux LR F1,Destrieux RF F1,Destrieux SVC F1,Destrieux XGB F1,Destrieux KNN F1,Destrieux GNB F1,Destrieux LR Sensitivity,Destrieux RF Sensitivity,Destrieux SVC Sensitivity,Destrieux XGB Sensitivity,Destrieux KNN Sensitivity,Destrieux GNB Sensitivity,Destrieux LR AUC-PR,Destrieux RF AUC-PR,Destrieux SVC AUC-PR,Destrieux XGB AUC-PR,Destrieux KNN AUC-PR,Destrieux GNB AUC-PR
0.8617176128093159,0.8748180494905385,0.9024745269286754,0.8864628820960698,0.8427947598253275,0.86608442503639,0.8126232741617357,0.8259109311740891,0.8624229979466119,0.8388429752066116,0.773109243697479,0.8181818181818182,0.865546218487395,0.8571428571428571,0.8823529411764706,0.8529411764705882,0.773109243697479,0.8697478991596639,0.922566777809646,0.9030269017192891,0.9281972979041163,0.9089040839724416,0.8489150625632387,0.8800165605229859
0.858806404657933,0.8500727802037845,0.851528384279476,0.8486171761280932,0.8471615720524017,0.8544395924308588,0.8422764227642277,0.8280467445742905,0.8288590604026845,0.8295081967213115,0.8229342327150084,0.8333333333333334,0.8327974276527331,0.797427652733119,0.7942122186495176,0.8135048231511254,0.7845659163987139,0.8038585209003215,0.9257409637030426,0.8984734757968185,0.9126941052155885,0.9220654664481065,0.8844782660593522,0.9094080396624572
0.8777292576419214,0.87627365356623,0.8486171761280932,0.834061135371179,0.8355167394468704,0.8646288209606987,0.86,0.8580968280467446,0.8266666666666667,0.8161290322580645,0.788785046728972,0.8388214904679376,0.8269230769230769,0.8237179487179487,0.7948717948717948,0.8108974358974359,0.6762820512820513,0.7756410256410257,0.9415757152283392,0.9370599173100798,0.9204531894499022,0.9259541449133668,0.8994535456718609,0.9164476267695334
0.8282387190684134,0.8165938864628821,0.8296943231441049,0.8107714701601164,0.7729257641921398,0.8093158660844251,0.8319088319088319,0.8130563798219584,0.8240601503759398,0.8099415204678363,0.7636363636363637,0.808199121522694,0.8021978021978022,0.7527472527472527,0.7527472527472527,0.760989010989011,0.6923076923076923,0.7582417582417582,0.9321544117841676,0.9060652646355498,0.927957370041853,0.9088954172390605,0.8711410294426225,0.9042840947490349
0.8296943231441049,0.8384279475982532,0.858806404657933,0.8107714701601164,0.8151382823871907,0.8311499272197962,0.7972270363951474,0.7963302752293578,0.8252252252252252,0.7719298245614035,0.7599243856332704,0.7819548872180451,0.8185053380782918,0.7722419928825622,0.8149466192170819,0.7829181494661922,0.7153024911032029,0.7402135231316725,0.8799586786505345,0.8605334368674954,0.8589783910727475,0.8317879194594768,0.8136915778517801,0.8261927767734846
0.8791848617176128,0.8748180494905385,0.8864628820960698,0.86608442503639,0.8413391557496361,0.8398835516739447,0.8546409807355516,0.8395522388059702,0.8581818181818182,0.8333333333333334,0.793168880455408,0.8,0.8621908127208481,0.7950530035335689,0.833922261484099,0.8127208480565371,0.7385159010600707,0.7773851590106007,0.9417625193041006,0.9278048638565868,0.9417751776058445,0.9154410039230478,0.8662102589006552,0.9086536190997392
0.9039301310043668,0.8966521106259098,0.9155749636098981,0.8850072780203785,0.8631732168850073,0.8981077147016011,0.8493150684931506,0.831353919239905,0.8599033816425121,0.8114558472553699,0.7564766839378239,0.8309178743961353,0.8857142857142857,0.8333333333333334,0.8476190476190476,0.8095238095238095,0.6952380952380952,0.819047619047619,0.9335733059220424,0.898930718776843,0.9246127735245194,0.8825059395147943,0.8177220270473013,0.8960103276272995
0.8427947598253275,0.8413391557496361,0.8471615720524017,0.8355167394468704,0.8107714701601164,0.851528384279476,0.8217821782178217,0.8180300500834724,0.8229342327150084,0.8100840336134454,0.7653429602888087,0.8327868852459016,0.8058252427184466,0.7928802588996764,0.7896440129449838,0.7799352750809061,0.686084142394822,0.8220064724919094,0.9087707987564516,0.9014177524152084,0.9078777362723475,0.8883375762472172,0.8666273096202496,0.8956400835545119
0.8529839883551674,0.8544395924308588,0.8573508005822417,0.8369723435225619,0.8136826783114993,0.8602620087336245,0.8231173380035026,0.8257839721254355,0.8268551236749117,0.8082191780821918,0.7672727272727272,0.8321678321678322,0.8131487889273357,0.8200692041522492,0.8096885813148789,0.8166089965397924,0.7301038062283737,0.8235294117647058,0.9068351195684597,0.8947565829913062,0.8891709345665407,0.891529583603083,0.8483850362029031,0.8919060607341585
0.8311499272197962,0.8195050946142649,0.8427947598253275,0.8034934497816594,0.777292576419214,0.8107714701601164,0.7410714285714286,0.7244444444444444,0.7589285714285714,0.7045951859956237,0.6222222222222222,0.7149122807017544,0.6974789915966386,0.6848739495798319,0.7142857142857143,0.6764705882352942,0.5294117647058824,0.6848739495798319,0.8151523451066234,0.7961929058049589,0.8049075882882099,0.8051039332959711,0.7384000315674918,0.8078731130806363
