Desikan LR accuracy,Desikan RF accuracy,Desikan SVC accuracy,Desikan XGB accuracy,Desikan KNN accuracy,Desikan GNB accuracy,Desikan LR F1,Desikan RF F1,Desikan SVC F1,Desikan XGB F1,Desikan KNN F1,Desikan GNB F1,Desikan LR Sensitivity,Desikan RF Sensitivity,Desikan SVC Sensitivity,Desikan XGB Sensitivity,Desikan KNN Sensitivity,Desikan GNB Sensitivity,Desikan LR AUC-PR,Desikan RF AUC-PR,Desikan SVC AUC-PR,Desikan XGB AUC-PR,Desikan KNN AUC-PR,Desikan GNB AUC-PR
0.8864628820960698,0.8646288209606987,0.8995633187772926,0.8864628820960698,0.8442503639010189,0.8457059679767104,0.8452380952380952,0.8105906313645621,0.8594704684317719,0.8401639344262295,0.7775467775467776,0.7896825396825397,0.8949579831932774,0.8361344537815126,0.8865546218487395,0.8613445378151261,0.7857142857142857,0.8361344537815126,0.9218181800923896,0.8797358202096175,0.9154605233709434,0.9002419989745029,0.8615295278335964,0.8788938706547228
0.8675400291120815,0.858806404657933,0.8646288209606987,0.8675400291120815,0.8020378457059679,0.8238719068413392,0.8505747126436781,0.8380634390651085,0.8431703204047217,0.8490878938640133,0.7562724014336918,0.800658978583196,0.8327974276527331,0.8070739549839229,0.8038585209003215,0.8231511254019293,0.6784565916398714,0.7813504823151125,0.9344236808119862,0.9072891497253621,0.9186305150872598,0.92583437120035,0.8515469473306017,0.8920183812730549
0.893740902474527,0.883551673944687,0.8806404657933042,0.8748180494905385,0.8209606986899564,0.8384279475982532,0.8816855753646677,0.8666666666666667,0.8642384105960265,0.8585526315789473,0.7775768535262206,0.8056042031523643,0.8717948717948718,0.8333333333333334,0.8365384615384616,0.8365384615384616,0.6891025641025641,0.7371794871794872,0.9494733929713098,0.9449458039670067,0.9456647586038109,0.9368791802037312,0.8801875077155246,0.9032068886733315
0.8369723435225619,0.8064046579330422,0.8209606986899564,0.8005822416302766,0.777292576419214,0.7889374090247453,0.8426966292134831,0.802962962962963,0.8235294117647058,0.8011611030478955,0.7605633802816901,0.7858197932053176,0.8241758241758241,0.7445054945054945,0.7884615384615384,0.7582417582417582,0.6675824175824175,0.7307692307692307,0.9287046323682235,0.8937642073838642,0.902733293744717,0.9010442498326283,0.8700706388498843,0.8988876049408183
0.8355167394468704,0.8296943231441049,0.8238719068413392,0.8224163027656477,0.7758369723435226,0.8020378457059679,0.8014059753954306,0.7868852459016393,0.7803992740471869,0.7781818181818182,0.7105263157894737,0.7509157509157509,0.8113879003558719,0.7686832740213523,0.7651245551601423,0.7615658362989324,0.6725978647686833,0.7295373665480427,0.8849269806055962,0.8676511312071769,0.864345916064,0.8546860843398947,0.7764615565044684,0.8096699885397973
0.8908296943231441,0.8719068413391557,0.8893740902474527,0.8850072780203785,0.8398835516739447,0.8471615720524017,0.8672566371681416,0.8376383763837638,0.8642857142857143,0.8561020036429873,0.7884615384615384,0.810126582278481,0.8657243816254417,0.8021201413427562,0.8551236749116607,0.8303886925795053,0.7243816254416962,0.7915194346289752,0.9471592116226633,0.9215145586610323,0.9465384745908685,0.9339019098105211,0.885803990827404,0.9136278517019236
0.9082969432314411,0.901018922852984,0.9126637554585153,0.8951965065502183,0.8733624454148472,0.9068413391557496,0.8551724137931035,0.8357487922705314,0.8604651162790697,0.8341013824884793,0.7841191066997518,0.8423645320197044,0.8857142857142857,0.8238095238095238,0.8809523809523809,0.861904761904762,0.7523809523809524,0.8142857142857143,0.9327763176875274,0.8880234159379111,0.9157100410438304,0.9032295219956165,0.847728199357531,0.9048880983318573
0.858806404657933,0.8238719068413392,0.8398835516739447,0.8427947598253275,0.8005822416302766,0.8209606986899564,0.8407224958949097,0.8,0.8208469055374593,0.82,0.7609075043630017,0.799347471451876,0.8284789644012945,0.7831715210355987,0.8155339805825242,0.7961165048543689,0.7055016181229773,0.7928802588996764,0.9086330118800143,0.9006244395051716,0.9157590004294252,0.910697153491522,0.8624743925516339,0.9004831877282589
0.8602620087336245,0.8719068413391557,0.858806404657933,0.8427947598253275,0.8165938864628821,0.8500727802037845,0.8339100346020761,0.8439716312056738,0.8283185840707965,0.8105263157894737,0.7631578947368421,0.8214904679376083,0.8339100346020761,0.8235294117647058,0.8096885813148789,0.7993079584775087,0.7024221453287197,0.8200692041522492,0.9161687770669505,0.8920948400418065,0.9010098548892278,0.9060863996110061,0.8584920948231005,0.8781460240730103
0.8224163027656477,0.8122270742358079,0.8238719068413392,0.8296943231441049,0.7962154294032023,0.8224163027656477,0.7239819004524887,0.7152317880794702,0.7397849462365591,0.7515923566878981,0.6728971962616822,0.7336244541484717,0.6722689075630253,0.680672268907563,0.7226890756302521,0.7436974789915967,0.6050420168067226,0.7058823529411765,0.7971094035103804,0.8136042392437225,0.8227264576167006,0.8315325557507169,0.7612903913682829,0.8042116346784605
